Registration_no,Genus,Species,Subspecies,Binomial,Country,Locality,Latitude,Longitude,Collection_date,Collection_year,Collector,Collector2,Altitude,Sex,Tail_length,Head_body,Total_length,Ear_length,Hind_foot,Weight,Age
27.6.4.60,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Neuquen,,,27/02/1927,1927,E_Budin,NA,800,F,92,92,184,21.4,13.9,NA,
19.8.2.40,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,05/03/1919,1919,E_Budin,O_Thomas,4000,F,95,81,176,21.5,12.5,NA,
19.8.2.39,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,11/03/1919,1919,E_Budin,O_Thomas,4500,M,91.5,84,175.5,21,12.5,NA,
20.8.4.66,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Cadena_del_Famatina,,,21/05/1920,1920,E_Budin,O_Thomas,3800,M,112,106,218,23.2,13.4,NA,
34.11.4.180,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Mora_sola,,,21/11/1929,1929,E_Budin,NA,2500,M,100,NA,NA,24.1,14.5,NA,
19.8.2.42,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,08/03/1919,1919,E_Budin,O_Thomas,4000,F,94,88,182,21.5,12.5,NA,
34.11.4.183,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Mora_sola,,,25/11/1929,1929,E_Budin,NA,2500,M,102,111,213,22.5,12.6,NA,
20.8.4.68,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Cadena_del_Famatina,,,NA,1920,E_Budin,O_Thomas,1600,F,103,78,181,20.5,12.1,NA,
21.11.1.105,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,NA,1921,E_Budin,O_Thomas,2600,F,90,80,170,20.9,11.1,NA,
19.8.2.44,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,19/03/1919,1919,E_Budin,O_Thomas,4000,F,113,105,218,25,14,NA,
12.12.12.53,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,20/03/1912,1912,E_Budin,NA,2230,M,97,85,182,22,12,NA,
10.5.12.1,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Alvear,,,NA,NA,W_Bayne,NA,NA,NA,NA,NA,NA,NA,NA,NA,
34.11.4.181,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Mora_sola,,,17/11/1929,1929,E_Budin,NA,2500,F,94,81,175,21.5,13.5,NA,
19.8.2.35,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,06/03/1919,1919,E_Budin,O_Thomas,4000,M,84,74.5,158.5,20.5,10.5,NA,
34.11.4.186,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Inga_maxo,,,09/12/1929,1929,E_Budin,NA,2300,F,105,97,202,20.2,13.1,NA,
19.8.1,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,NA,1919,E_Budin,O_Thomas,3500,F,109,105,214,23,12,NA,
19.8.2.36,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,09/03/1919,1919,E_Budin,O_Thomas,4000,M,94,82,176,20,12,NA,
19.8.2.41,Thylamys,pallidior,NA,Thylamys_pallidior,Argentina,Jujuy,,,06/03/1919,1919,E_Budin,O_Thomas,4000,F,102,94,196,24,12.5,NA,
